======================================================
  RELATÓRIO: ASSALTO À CARAVANA (mission_3)
  Min Heróis: 3
  Inimigos: 3x (HP:6 ATK:2), 2x (HP:10 ATK:3)
======================================================


### ESTÁGIO: Dia 0 ###

[Trios]
| Classe/Grupo                                  | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| Arqueiro + Arqueiro + Curandeiro              | 100.0%             | 0.0%               | 0.0%               | 4.4                | 2.1                | 0.0%               |
| Arqueiro + Mago + Mago                        | 100.0%             | 0.0%               | 0.0%               | 4.7                | 3.2                | 0.6%               |
| Arqueiro + Mago + Curandeiro                  | 100.0%             | 0.0%               | 0.0%               | 5.3                | 2.6                | 0.0%               |
| Arqueiro + Curandeiro + Curandeiro            | 100.0%             | 0.0%               | 0.0%               | 5.8                | 3.3                | 0.0%               |
| Mago + Mago + Mago                            | 99.0%              | 1.0%               | 0.0%               | 6.8                | 7.2                | 30.7%              |
| Mago + Mago + Curandeiro                      | 100.0%             | 0.0%               | 0.0%               | 7.1                | 4.6                | 1.1%               |
| Mago + Curandeiro + Curandeiro                | 100.0%             | 0.0%               | 0.0%               | 6.7                | 3.9                | 0.0%               |
| Curandeiro + Curandeiro + Curandeiro          | 99.9%              | 0.0%               | 0.1%               | 7.0                | 6.9                | 0.0%               |


### ESTÁGIO: Dia 1 ###

[Trios]
| Classe/Grupo                                  | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| --------------------------------------------- | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ |
| Guerreiro + Guerreiro + Guerreiro             | 99.0%              | 0.1%               | 0.9%               | 5.5                | 6.8                | 0.6%               |
| Guerreiro + Guerreiro + Tanque                | 97.7%              | 0.0%               | 2.3%               | 7.9                | 13.7               | 9.2%               |
| Guerreiro + Guerreiro + Ladino                | 100.0%             | 0.0%               | 0.0%               | 4.8                | 4.9                | 0.1%               |
| Guerreiro + Guerreiro + Arqueiro              | 100.0%             | 0.0%               | 0.0%               | 4.5                | 4.8                | 0.0%               |
| Guerreiro + Guerreiro + Mago                  | 100.0%             | 0.0%               | 0.0%               | 5.7                | 8.0                | 0.2%               |
| Guerreiro + Guerreiro + Curandeiro            | 94.7%              | 0.0%               | 5.3%               | 7.2                | 8.0                | 0.6%               |
| Guerreiro + Tanque + Tanque                   | 91.7%              | 0.0%               | 8.3%               | 11.1               | 22.9               | 9.3%               |
| Guerreiro + Tanque + Ladino                   | 99.9%              | 0.0%               | 0.1%               | 5.7                | 8.3                | 0.2%               |
| Guerreiro + Tanque + Arqueiro                 | 100.0%             | 0.0%               | 0.0%               | 5.6                | 8.2                | 0.0%               |
| Guerreiro + Tanque + Mago                     | 100.0%             | 0.0%               | 0.0%               | 7.3                | 14.0               | 0.4%               |
| Guerreiro + Tanque + Curandeiro               | 87.1%              | 0.0%               | 12.9%              | 10.1               | 12.5               | 1.7%               |
| Guerreiro + Ladino + Ladino                   | 100.0%             | 0.0%               | 0.0%               | 4.2                | 3.4                | 0.0%               |
| Guerreiro + Ladino + Arqueiro                 | 100.0%             | 0.0%               | 0.0%               | 4.1                | 3.3                | 0.0%               |
| Guerreiro + Ladino + Mago                     | 100.0%             | 0.0%               | 0.0%               | 5.3                | 6.0                | 0.1%               |
| Guerreiro + Ladino + Curandeiro               | 99.7%              | 0.0%               | 0.4%               | 5.8                | 5.0                | 0.0%               |
| Guerreiro + Arqueiro + Arqueiro               | 100.0%             | 0.0%               | 0.0%               | 4.0                | 3.2                | 0.0%               |
| Guerreiro + Arqueiro + Mago                   | 100.0%             | 0.0%               | 0.0%               | 4.3                | 4.1                | 0.0%               |
| Guerreiro + Arqueiro + Curandeiro             | 100.0%             | 0.0%               | 0.0%               | 5.2                | 4.8                | 0.4%               |
| Guerreiro + Mago + Mago                       | 100.0%             | 0.0%               | 0.0%               | 5.2                | 6.0                | 0.1%               |
| Guerreiro + Mago + Curandeiro                 | 100.0%             | 0.0%               | 0.0%               | 6.8                | 5.9                | 0.0%               |
| Guerreiro + Curandeiro + Curandeiro           | 99.9%              | 0.0%               | 0.1%               | 7.1                | 6.5                | 0.0%               |
| Tanque + Tanque + Tanque                      | 88.0%              | 0.0%               | 11.9%              | 13.5               | 32.6               | 0.0%               |
| Tanque + Tanque + Ladino                      | 99.7%              | 0.0%               | 0.3%               | 7.3                | 13.1               | 0.0%               |
| Tanque + Tanque + Arqueiro                    | 100.0%             | 0.0%               | 0.0%               | 6.8                | 13.2               | 0.0%               |
| Tanque + Tanque + Mago                        | 100.0%             | 0.0%               | 0.0%               | 7.5                | 15.5               | 0.0%               |
| Tanque + Tanque + Curandeiro                  | 95.4%              | 0.0%               | 4.6%               | 11.0               | 25.3               | 0.0%               |
| Tanque + Ladino + Ladino                      | 100.0%             | 0.0%               | 0.0%               | 4.6                | 5.9                | 0.0%               |
| Tanque + Ladino + Arqueiro                    | 100.0%             | 0.0%               | 0.0%               | 4.5                | 6.2                | 0.0%               |
