======================================================
  RELATÓRIO: ASSALTO À CARAVANA (mission_3)
  Min Heróis: 3
  Inimigos: 3x (HP:6 ATK:2), 2x (HP:10 ATK:3)
======================================================


### ESTÁGIO: Dia 0 ###

[Trios]
| Classe/Grupo                                  | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| Tanque + Curandeiro + Curandeiro              | 99.9%              | 0.0%               | 0.1%               | 8.1                | 15.8               | 0.0%               |
| Ladino + Ladino + Ladino                      | 100.0%             | 0.0%               | 0.0%               | 3.8                | 1.7                | 0.0%               |
| Ladino + Ladino + Arqueiro                    | 100.0%             | 0.0%               | 0.0%               | 3.7                | 1.6                | 0.0%               |
| Ladino + Ladino + Mago                        | 100.0%             | 0.0%               | 0.0%               | 4.6                | 2.8                | 0.2%               |
| Ladino + Ladino + Curandeiro                  | 100.0%             | 0.0%               | 0.0%               | 4.9                | 2.3                | 0.0%               |
| Ladino + Arqueiro + Arqueiro                  | 100.0%             | 0.0%               | 0.0%               | 3.6                | 1.5                | 0.0%               |
| Ladino + Arqueiro + Mago                      | 100.0%             | 0.0%               | 0.0%               | 4.5                | 2.6                | 0.4%               |
| Ladino + Arqueiro + Curandeiro                | 100.0%             | 0.0%               | 0.0%               | 4.7                | 2.1                | 0.0%               |
| Ladino + Mago + Mago                          | 100.0%             | 0.0%               | 0.0%               | 5.4                | 3.8                | 0.3%               |
| Ladino + Mago + Curandeiro                    | 100.0%             | 0.0%               | 0.0%               | 5.3                | 2.2                | 0.0%               |
| Ladino + Curandeiro + Curandeiro              | 100.0%             | 0.0%               | 0.0%               | 6.2                | 3.4                | 0.0%               |
| Arqueiro + Arqueiro + Arqueiro                | 100.0%             | 0.0%               | 0.0%               | 3.5                | 1.5                | 0.0%               |
| Arqueiro + Arqueiro + Mago                    | 100.0%             | 0.0%               | 0.0%               | 4.3                | 2.5                | 0.3%               |
| Arqueiro + Arqueiro + Curandeiro              | 100.0%             | 0.0%               | 0.0%               | 4.4                | 1.9                | 0.1%               |
| Arqueiro + Mago + Mago                        | 100.0%             | 0.0%               | 0.0%               | 5.1                | 3.8                | 0.8%               |
| Arqueiro + Mago + Curandeiro                  | 100.0%             | 0.0%               | 0.0%               | 5.7                | 2.9                | 1.0%               |
| Arqueiro + Curandeiro + Curandeiro            | 100.0%             | 0.0%               | 0.0%               | 5.5                | 3.4                | 0.0%               |
| Mago + Mago + Mago                            | 99.1%              | 0.9%               | 0.0%               | 6.7                | 7.5                | 18.1%              |
| Mago + Mago + Curandeiro                      | 100.0%             | 0.0%               | 0.0%               | 7.5                | 3.8                | 0.5%               |
| Mago + Curandeiro + Curandeiro                | 100.0%             | 0.0%               | 0.0%               | 7.1                | 4.2                | 0.0%               |
| Curandeiro + Curandeiro + Curandeiro          | 99.9%              | 0.0%               | 0.1%               | 7.6                | 7.5                | 0.0%               |


### ESTÁGIO: Dia 7 ###

[Trios]
| Classe/Grupo                                  | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| --------------------------------------------- | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ |
| Guerreiro + Guerreiro + Guerreiro             | 99.5%              | 0.1%               | 0.4%               | 5.4                | 6.7                | 0.5%               |
| Guerreiro + Guerreiro + Tanque                | 96.1%              | 0.0%               | 3.9%               | 8.0                | 14.1               | 6.9%               |
| Guerreiro + Guerreiro + Ladino                | 100.0%             | 0.0%               | 0.0%               | 4.7                | 4.9                | 0.1%               |
| Guerreiro + Guerreiro + Arqueiro              | 100.0%             | 0.0%               | 0.0%               | 4.5                | 4.7                | 0.0%               |
| Guerreiro + Guerreiro + Mago                  | 100.0%             | 0.0%               | 0.0%               | 5.7                | 7.7                | 0.1%               |
| Guerreiro + Guerreiro + Curandeiro            | 95.4%              | 0.0%               | 4.6%               | 7.3                | 8.1                | 0.6%               |
| Guerreiro + Tanque + Tanque                   | 93.4%              | 0.0%               | 6.6%               | 10.5               | 22.6               | 17.5%              |
| Guerreiro + Tanque + Ladino                   | 99.9%              | 0.0%               | 0.1%               | 5.9                | 8.6                | 0.3%               |
| Guerreiro + Tanque + Arqueiro                 | 100.0%             | 0.0%               | 0.0%               | 5.5                | 8.0                | 0.0%               |
| Guerreiro + Tanque + Mago                     | 100.0%             | 0.0%               | 0.0%               | 6.3                | 10.3               | 0.6%               |
| Guerreiro + Tanque + Curandeiro               | 88.4%              | 0.0%               | 11.6%              | 9.8                | 12.6               | 1.3%               |
| Guerreiro + Ladino + Ladino                   | 100.0%             | 0.0%               | 0.0%               | 4.2                | 3.5                | 0.0%               |
| Guerreiro + Ladino + Arqueiro                 | 100.0%             | 0.0%               | 0.0%               | 4.1                | 3.3                | 0.0%               |
| Guerreiro + Ladino + Mago                     | 100.0%             | 0.0%               | 0.0%               | 5.1                | 5.4                | 0.0%               |
| Guerreiro + Ladino + Curandeiro               | 98.8%              | 0.0%               | 1.2%               | 6.1                | 5.4                | 0.1%               |
| Guerreiro + Arqueiro + Arqueiro               | 100.0%             | 0.0%               | 0.0%               | 4.0                | 3.2                | 0.0%               |
| Guerreiro + Arqueiro + Mago                   | 100.0%             | 0.0%               | 0.0%               | 5.0                | 5.6                | 0.0%               |
| Guerreiro + Arqueiro + Curandeiro             | 100.0%             | 0.0%               | 0.0%               | 5.2                | 4.8                | 0.0%               |
| Guerreiro + Mago + Mago                       | 100.0%             | 0.0%               | 0.0%               | 6.0                | 7.7                | 1.3%               |
| Guerreiro + Mago + Curandeiro                 | 99.8%              | 0.0%               | 0.2%               | 8.1                | 8.3                | 0.4%               |
| Guerreiro + Curandeiro + Curandeiro           | 100.0%             | 0.0%               | 0.0%               | 6.2                | 6.4                | 0.0%               |
| Tanque + Tanque + Tanque                      | 78.9%              | 0.0%               | 21.1%              | 15.5               | 38.7               | 0.0%               |
| Tanque + Tanque + Ladino                      | 99.9%              | 0.0%               | 0.1%               | 7.0                | 12.9               | 0.0%               |
| Tanque + Tanque + Arqueiro                    | 100.0%             | 0.0%               | 0.0%               | 6.8                | 13.1               | 0.0%               |
| Tanque + Tanque + Mago                        | 100.0%             | 0.0%               | 0.0%               | 7.5                | 16.2               | 0.0%               |
| Tanque + Tanque + Curandeiro                  | 97.3%              | 0.0%               | 2.7%               | 11.1               | 25.8               | 0.0%               |
| Tanque + Ladino + Ladino                      | 100.0%             | 0.0%               | 0.0%               | 4.6                | 6.5                | 0.0%               |
| Tanque + Ladino + Arqueiro                    | 100.0%             | 0.0%               | 0.0%               | 4.5                | 5.8                | 0.0%               |
| Tanque + Ladino + Mago                        | 100.0%             | 0.0%               | 0.0%               | 6.9                | 13.7               | 0.7%               |
| Tanque + Ladino + Curandeiro                  | 100.0%             | 0.0%               | 0.0%               | 6.3                | 10.3               | 0.0%               |
| Tanque + Arqueiro + Arqueiro                  | 100.0%             | 0.0%               | 0.0%               | 4.4                | 5.5                | 0.0%               |
| Tanque + Arqueiro + Mago                      | 100.0%             | 0.0%               | 0.0%               | 5.4                | 9.3                | 0.0%               |
| Tanque + Arqueiro + Curandeiro                | 100.0%             | 0.0%               | 0.0%               | 6.1                | 9.9                | 0.0%               |
| Tanque + Mago + Mago                          | 100.0%             | 0.0%               | 0.0%               | 7.0                | 14.2               | 0.0%               |
| Tanque + Mago + Curandeiro                    | 100.0%             | 0.0%               | 0.0%               | 5.6                | 8.3                | 0.0%               |
| Tanque + Curandeiro + Curandeiro              | 99.9%              | 0.0%               | 0.1%               | 8.3                | 16.8               | 0.0%               |
| Ladino + Ladino + Ladino                      | 100.0%             | 0.0%               | 0.0%               | 3.8                | 1.6                | 0.0%               |
| Ladino + Ladino + Arqueiro                    | 100.0%             | 0.0%               | 0.0%               | 3.7                | 1.6                | 0.9%               |
| Ladino + Ladino + Mago                        | 100.0%             | 0.0%               | 0.0%               | 4.6                | 2.7                | 0.0%               |
| Ladino + Ladino + Curandeiro                  | 100.0%             | 0.0%               | 0.0%               | 4.9                | 2.3                | 0.0%               |
| Ladino + Arqueiro + Arqueiro                  | 100.0%             | 0.0%               | 0.0%               | 3.6                | 1.5                | 0.3%               |
| Ladino + Arqueiro + Mago                      | 100.0%             | 0.0%               | 0.0%               | 4.4                | 2.4                | 0.1%               |
| Ladino + Arqueiro + Curandeiro                | 100.0%             | 0.0%               | 0.0%               | 4.6                | 2.0                | 0.0%               |
| Ladino + Mago + Mago                          | 100.0%             | 0.0%               | 0.0%               | 4.7                | 2.8                | 0.2%               |
| Ladino + Mago + Curandeiro                    | 100.0%             | 0.0%               | 0.0%               | 4.9                | 1.5                | 0.2%               |
| Ladino + Curandeiro + Curandeiro              | 100.0%             | 0.0%               | 0.0%               | 6.2                | 3.4                | 0.0%               |
| Arqueiro + Arqueiro + Arqueiro                | 100.0%             | 0.0%               | 0.0%               | 3.5                | 1.4                | 0.3%               |
| Arqueiro + Arqueiro + Mago                    | 100.0%             | 0.0%               | 0.0%               | 3.8                | 1.9                | 0.0%               |
| Arqueiro + Arqueiro + Curandeiro              | 100.0%             | 0.0%               | 0.0%               | 4.4                | 1.9                | 0.4%               |
| Arqueiro + Mago + Mago                        | 100.0%             | 0.0%               | 0.0%               | 4.5                | 3.1                | 0.3%               |
| Arqueiro + Mago + Curandeiro                  | 100.0%             | 0.0%               | 0.0%               | 5.1                | 2.3                | 2.3%               |
| Arqueiro + Curandeiro + Curandeiro            | 100.0%             | 0.0%               | 0.0%               | 5.5                | 2.9                | 0.0%               |
| Mago + Mago + Mago                            | 99.8%              | 0.2%               | 0.0%               | 6.3                | 6.8                | 6.6%               |
| Mago + Mago + Curandeiro                      | 100.0%             | 0.0%               | 0.0%               | 6.7                | 4.8                | 0.1%               |
| Mago + Curandeiro + Curandeiro                | 100.0%             | 0.0%               | 0.0%               | 6.8                | 3.2                | 0.1%               |
| Curandeiro + Curandeiro + Curandeiro          | 100.0%             | 0.0%               | 0.0%               | 7.8                | 7.9                | 0.0%               |


Legenda:
- Win Rate: Taxa de vitória do grupo.
- Loss Rate: Taxa de derrota do grupo.
- Timeout Rate: Batalhas que atingiram o limite de rounds.
- Avg Rounds (Win): Média de rounds para vencer.
- Avg HP Lost (Win): HP total perdido pelo grupo em vitórias.
- Incapacitated Rate: Porcentagem de heróis do grupo com HP < 3 após a missão.
